date,value
1.73E+12,102330.9
1.73E+12,105270.93
1.73E+12,104125.484
1.73E+12,103167.32
1.73E+12,104289.43
1.73E+12,108974.58
1.73E+12,105529.03
1.73E+12,109466.25
1.73E+12,106734.6
1.73E+12,109161.52
1.73E+12,107166.91
1.73E+12,110225.33
1.73E+12,106218.17
1.73E+12,106248.4
1.73E+12,108846.445
1.73E+12,106055.8
1.73E+12,107917
1.73E+12,103747.19
1.73E+12,110364.22
1.73E+12,109190.09
1.73E+12,106184.336
1.73E+12,106413.055
1.73E+12,109846.76
1.73E+12,106344.53
1.73E+12,102975.766
1.73E+12,107915.8
1.73E+12,108748.016
1.73E+12,106585.19
1.73E+12,109006.08
1.73E+12,112567.4
1.73E+12,109991.516
1.73E+12,104113.48
1.73E+12,110527.04
1.73E+12,103035.23
1.73E+12,107374.92
1.73E+12,105901.625
1.73E+12,111979.58
1.73E+12,107463.93
1.73E+12,110331.69
1.73E+12,110815.26
1.73E+12,107932.16
1.73E+12,109664.125
1.73E+12,106422.96
1.73E+12,112108.56
1.73E+12,111232.58
1.73E+12,103088.06
1.73E+12,104934.7
1.73E+12,109333.78
1.73E+12,111059.52
1.73E+12,106204.74
1.73E+12,107534.72
1.73E+12,109559.28
1.73E+12,102271.34
1.73E+12,109183.13
1.73E+12,101545.875
1.73E+12,100403.625
1.73E+12,98211.164
1.73E+12,97267.51
1.73E+12,80457.73
1.73E+12,85439.88
1.73E+12,83059.85
1.73E+12,85185.27
1.73E+12,79198.53
1.73E+12,84652.92
1.73E+12,78181.49
1.73E+12,76831.336
1.73E+12,81858.75
1.73E+12,82144.414
1.73E+12,79603.9
1.73E+12,76830.47
1.73E+12,70535.15
1.73E+12,75308.61
1.73E+12,80297.68
1.73E+12,80511.03
1.73E+12,74314.77
1.73E+12,77006.76
1.73E+12,80357.03
1.73E+12,74521.68
1.73E+12,76551.46
1.73E+12,73386.04
1.73E+12,79345.97
1.73E+12,77785.82
1.73E+12,83051.08
1.73E+12,76816.27
1.73E+12,82449.1
1.73E+12,78162.55
1.73E+12,74738.78
1.73E+12,76823.445
1.73E+12,75701.97
1.73E+12,80547.04
1.73E+12,75328.45
1.73E+12,80030.73
1.73E+12,77767.35
1.73E+12,76429.516
1.73E+12,76231.71
1.73E+12,83150.19
1.73E+12,77428.22
1.73E+12,76993.35
1.73E+12,80415.25
1.73E+12,76242.34
1.73E+12,78170.01
1.73E+12,79182.45
1.73E+12,75518.93
1.73E+12,78184.08
1.73E+12,83401.72
1.73E+12,76462.67
1.73E+12,75853.305
1.73E+12,76065.016
1.73E+12,77958.48
1.73E+12,80019.58
1.73E+12,80561.13
1.73E+12,72024.49
1.73E+12,69782.734
1.73E+12,71541.91
1.73E+12,77321.94
1.73E+12,77792.65
1.73E+12,81776.195
1.73E+12,79311.36
1.73E+12,80712.88
1.73E+12,64887.777
1.73E+12,58828.586
1.73E+12,64587.414
1.73E+12,62235.344
1.73E+12,63820.312
1.73E+12,61034.445
1.73E+12,78515.34
1.73E+12,115569.77
1.73E+12,127256.78
1.73E+12,127598.01
1.73E+12,120702.4
1.73E+12,116673.58
1.73E+12,120838.445
1.73E+12,114291.49
1.73E+12,117107.516
1.73E+12,117500.73
1.73E+12,118931.36
1.73E+12,114279.56
1.73E+12,118153.57
1.73E+12,118284.26
1.73E+12,115613.14
1.73E+12,113910.47
1.73E+12,118899.53
1.73E+12,115567.016
1.73E+12,110211.95
1.73E+12,115157.305
1.73E+12,115130.53
1.73E+12,117013.31
1.73E+12,118505.695
1.73E+12,119081.27
1.73E+12,115452.7
1.73E+12,114571.69
1.73E+12,122188.84
1.73E+12,119572.81
1.73E+12,123457.81
1.73E+12,120258.08
1.73E+12,115669.29
1.73E+12,120878.93
1.73E+12,120164.64
1.73E+12,115235.03
1.73E+12,113593.28
1.73E+12,115001.63
1.73E+12,110828.12
1.73E+12,114693.13
1.73E+12,111968.79
1.73E+12,115394.99
1.73E+12,111242.04
1.73E+12,117637.21
1.73E+12,112978.555
1.73E+12,116218.805
1.73E+12,110539.87
1.73E+12,114958.54
1.73E+12,112915.65
1.73E+12,119289.266
1.73E+12,117916.65
1.73E+12,117776.33
1.73E+12,120767.23
1.73E+12,124080.5
1.73E+12,122258.805
1.73E+12,121558.11
1.73E+12,120206.6
1.73E+12,122841.32
1.73E+12,124164.84
1.73E+12,120878.695
1.73E+12,122891.04
1.73E+12,115605.86
1.73E+12,119439.3
1.73E+12,117467.17
1.73E+12,117055.55
1.73E+12,120243.98
1.73E+12,117201.79
1.73E+12,115086.875
1.73E+12,120646.92
1.73E+12,117451.945
1.73E+12,121226.92
1.73E+12,119496.39
1.73E+12,121209.99
1.73E+12,122495.266
1.73E+12,120811.49
1.73E+12,117099.89
1.73E+12,114632.445
1.73E+12,116787.29
1.73E+12,114078.875
1.73E+12,118872.39
1.73E+12,121887.08
1.73E+12,120152
1.73E+12,122869.25
1.73E+12,121679.19
1.73E+12,121382.195
1.73E+12,124458.98
1.73E+12,118315.42
1.73E+12,118287.67
1.73E+12,112135.2
1.73E+12,107313.9
1.73E+12,113862.3
1.73E+12,121716.43
1.73E+12,121407.73
1.73E+12,122958.4
1.73E+12,118773.39
1.73E+12,123253.06
1.73E+12,125566.55
1.73E+12,118518.11
1.73E+12,120001.07
1.73E+12,115602.125
1.73E+12,117679.59
1.73E+12,123156.73
1.73E+12,112267.586
1.73E+12,114898.86
1.73E+12,118742.81
1.73E+12,116548.14
1.73E+12,115061.12
1.73E+12,115616.1
1.73E+12,117647.016
1.73E+12,116963.09
1.73E+12,112639.125
1.73E+12,115837.53
1.73E+12,119144.625
1.73E+12,115245.375
1.73E+12,119873.7
1.73E+12,121302.13
1.73E+12,125284.016
1.73E+12,122898.14
1.73E+12,121743.37
1.73E+12,125220.98
1.73E+12,128621.51
1.73E+12,122350.02
1.73E+12,122052.74
1.73E+12,124800.51
1.73E+12,121737.66
1.73E+12,123682.55
1.73E+12,122379.73
1.73E+12,120289.62
1.73E+12,124664.64
1.73E+12,123725.43
1.73E+12,121679.85
1.73E+12,126859.95
1.73E+12,121640.57
1.73E+12,117686.555
